tech_id,tech_name,level,skills,work_start_h,lunch_start_h,lunch_end_h,work_end_h,on_call,work_days
Tech_01,Miguel Lopes,Mid,microsoft:windows_10;solarwinds:orion_platform,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_02,Sofia Dias,Senior,microsoft:sharepoint_enterprise_server;vmware:vcenter_server,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_03,Tiago Martins,Mid,gitlab:gitlab;microsoft:365_apps,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_04,Rui Martins,Mid,microsoft:powershell;microsoft:windows;adobe:commerce;ivanti:avalanche,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_05,Hugo Moreira,Mid,apache:ofbiz;jenkins:favorite,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_06,Bruno Ferreira,Mid,zohocorp:manageengine_desktop_central;apache:airflow,14.0,18.0,19.0,23.0,1,0;1;2;3;4
Tech_07,André Rodrigues,Mid,adobe:framemaker;sap:3d_visual_enterprise_viewer,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_08,Diogo Rodrigues,Junior,solarwinds:orion_platform;microsoft:windows_10;microsoft:powershell,14.0,18.0,19.0,23.0,0,0;1;2;3;4
Tech_09,Carla Oliveira,Senior,jenkins:favorite;adobe:commerce;vmware:vcenter_server,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_10,Diana Pereira,Senior,adobe:framemaker;ivanti:avalanche;microsoft:powershell,14.0,18.0,19.0,23.0,1,0;1;2;3;4
Tech_11,João Fernandes,Senior,ivanti:avalanche;gitlab:gitlab;zohocorp:manageengine_desktop_central;apache:airflow,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_12,André Sousa,Senior,microsoft:365_apps;adobe:commerce;jenkins:favorite;apache:airflow,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_13,Ana Martins,Senior,microsoft:windows_10;microsoft:sharepoint_enterprise_server,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_14,Sofia Costa,Senior,apache:airflow;microsoft:sharepoint_enterprise_server,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_15,Pedro Fernandes,Mid,apache:ofbiz;apache:airflow;microsoft:windows_10;sap:3d_visual_enterprise_viewer,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_16,Joana Fernandes,Senior,microsoft:powershell;sap:3d_visual_enterprise_viewer,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_17,Carla Carvalho,Senior,microsoft:windows_10;vmware:vcenter_server;microsoft:sharepoint_enterprise_server;microsoft:powershell,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_18,Rui Fernandes,Junior,adobe:commerce;jenkins:favorite,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_19,Hugo Rodrigues,Senior,zohocorp:manageengine_desktop_central;microsoft:windows;solarwinds:orion_platform,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_20,João Martins,Senior,microsoft:powershell;sap:3d_visual_enterprise_viewer,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_21,Tiago Almeida,Junior,adobe:commerce;vmware:vcenter_server;ivanti:avalanche,14.0,18.0,19.0,23.0,0,0;1;2;3;4
Tech_22,Pedro Pinto,Senior,ivanti:avalanche;microsoft:windows_10,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_23,Cátia Martins,Mid,vmware:vcenter_server;ivanti:avalanche;microsoft:powershell,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_24,Elsa Almeida,Mid,microsoft:sharepoint_enterprise_server;microsoft:windows,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_25,Tiago Pinto,Junior,jenkins:favorite;solarwinds:orion_platform,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_26,Inês Gomes,Mid,apache:airflow;ivanti:avalanche,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_27,Miguel Pereira,Mid,ivanti:avalanche;microsoft:365_apps,10.0,14.0,15.0,19.0,1,4;5;6;0;1
Tech_28,Joana Carvalho,Junior,microsoft:windows_10;apache:airflow;microsoft:windows,14.0,18.0,19.0,23.0,0,0;1;2;3;4
Tech_29,Carla Almeida,Mid,sap:3d_visual_enterprise_viewer;ivanti:avalanche;microsoft:windows,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_30,Rui Costa,Mid,gitlab:gitlab;sap:3d_visual_enterprise_viewer;apache:airflow,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_31,Bruno Moreira,Mid,microsoft:powershell;adobe:framemaker,14.0,18.0,19.0,23.0,0,0;1;2;3;4
Tech_32,Joana Rodrigues,Junior,apache:airflow;sap:3d_visual_enterprise_viewer,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_33,Rui Costa,Senior,apache:ofbiz;microsoft:powershell,10.0,14.0,15.0,19.0,1,4;5;6;0;1
Tech_34,Rui Ferreira,Senior,zohocorp:manageengine_desktop_central;ivanti:avalanche;adobe:commerce,14.0,18.0,19.0,23.0,0,0;1;2;3;4
Tech_35,Beatriz Pereira,Senior,zohocorp:manageengine_desktop_central;microsoft:sharepoint_enterprise_server;apache:ofbiz;microsoft:windows_10,14.0,18.0,19.0,23.0,1,0;1;2;3;4
Tech_36,Maria Santos,Junior,adobe:commerce;jenkins:favorite;apache:airflow;microsoft:sharepoint_enterprise_server,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_37,João Pinto,Senior,sap:3d_visual_enterprise_viewer;microsoft:windows;gitlab:gitlab;ivanti:avalanche,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_38,Ricardo Martins,Junior,microsoft:powershell;microsoft:sharepoint_enterprise_server,10.0,14.0,15.0,19.0,0,4;5;6;0;1
Tech_39,Sofia Silva,Mid,jenkins:favorite;adobe:commerce,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_40,João Dias,Junior,adobe:commerce;microsoft:sharepoint_enterprise_server;gitlab:gitlab;solarwinds:orion_platform,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_41,Carla Ferreira,Mid,apache:airflow;solarwinds:orion_platform;vmware:vcenter_server,7.0,11.0,12.0,16.0,0,0;1;2;3;4
Tech_42,Miguel Carvalho,Mid,gitlab:gitlab;vmware:vcenter_server;apache:airflow;adobe:framemaker,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_43,Joana Carvalho,Senior,adobe:commerce;ivanti:avalanche;microsoft:365_apps,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_44,João Carvalho,Mid,microsoft:windows_10;microsoft:365_apps,7.0,11.0,12.0,16.0,0,0;1;2;3;4
Tech_45,Diogo Santos,Senior,microsoft:sharepoint_enterprise_server;adobe:framemaker;zohocorp:manageengine_desktop_central;microsoft:365_apps,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_46,Diana Ferreira,Senior,microsoft:powershell;jenkins:favorite;gitlab:gitlab;adobe:commerce,10.0,14.0,15.0,19.0,1,4;5;6;0;1
Tech_47,Hugo Carvalho,Junior,microsoft:windows;gitlab:gitlab,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_48,Diogo Gomes,Mid,vmware:vcenter_server;microsoft:windows_10,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_49,Cátia Rodrigues,Senior,ivanti:avalanche;sap:3d_visual_enterprise_viewer,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_50,Hugo Pinto,Junior,microsoft:windows_10;microsoft:windows,10.0,14.0,15.0,19.0,0,4;5;6;0;1
